scheduler,seed,n_ues,load_mult,shared_lcg,k2_slots,M07.met,M07.total,M08.fraction,wall_s
Reservation,161576974,16,1.0,False,2,10,16,0.0,12.2
Reservation,35492826,16,1.0,False,2,11,16,0.0,12.6
Reservation,376383645,16,1.0,False,2,10,16,0.0,12.1
Reservation,1746484539,16,1.0,False,2,10,16,0.0,12.4
Reservation,1826701614,24,1.0,False,2,16,24,0.0,18.5
Reservation,1367864806,24,1.0,False,2,8,24,0.0,18.6
Reservation,1097657231,24,1.0,False,2,0,24,0.0,19.0
Reservation,579362555,24,1.0,False,2,10,24,0.0,18.4
Reservation,661058651,24,1.0,False,2,15,24,0.0,18.4
Reservation,87989972,24,1.0,False,2,7,24,0.0,18.6
Reservation,161576974,24,1.0,False,2,14,24,0.0,18.8
Reservation,35492826,24,1.0,False,2,8,24,0.0,18.7
Reservation,376383645,24,1.0,False,2,12,24,0.0,18.5
Reservation,1746484539,24,1.0,False,2,14,24,0.0,18.3
Reservation,1826701614,32,1.0,False,2,14,32,0.0,23.7
Reservation,1367864806,32,1.0,False,2,4,32,0.0,25.1
Reservation,1097657231,32,1.0,False,2,1,32,0.0,24.9
Reservation,579362555,32,1.0,False,2,2,32,0.0,24.9
Reservation,661058651,32,1.0,False,2,9,32,0.0,23.9
Reservation,87989972,32,1.0,False,2,11,32,0.0,23.9
Reservation,161576974,32,1.0,False,2,7,32,0.0,23.6
Reservation,35492826,32,1.0,False,2,0,32,0.0,24.8
Reservation,376383645,32,1.0,False,2,11,32,0.0,23.8
Reservation,1746484539,32,1.0,False,2,3,32,0.0,24.2
TwoTier,1826701614,2,1.0,False,2,2,2,0.9811892,3.3
TwoTier,1367864806,2,1.0,False,2,2,2,0.9627671999999999,3.3
TwoTier,1097657231,2,1.0,False,2,2,2,0.9745048000000001,3.3
TwoTier,579362555,2,1.0,False,2,2,2,0.9641224,3.3
TwoTier,661058651,2,1.0,False,2,2,2,0.9535004,3.4
TwoTier,87989972,2,1.0,False,2,2,2,0.964992,3.4
TwoTier,161576974,2,1.0,False,2,2,2,0.9580144,3.3
TwoTier,35492826,2,1.0,False,2,2,2,0.9712076,3.4
TwoTier,376383645,2,1.0,False,2,2,2,0.9739536,3.3
TwoTier,1746484539,2,1.0,False,2,2,2,0.9665368000000001,3.3
TwoTier,1826701614,4,1.0,False,2,4,4,0.9587091999999999,5.3
TwoTier,1367864806,4,1.0,False,2,4,4,0.9645452,5.2
TwoTier,1097657231,4,1.0,False,2,4,4,0.9662888000000001,5.4
TwoTier,579362555,4,1.0,False,2,4,4,0.9595132,5.2
TwoTier,661058651,4,1.0,False,2,4,4,0.9635072,5.1
TwoTier,87989972,4,1.0,False,2,4,4,0.9685688,5.2
TwoTier,161576974,4,1.0,False,2,4,4,0.9613632,5.2
TwoTier,35492826,4,1.0,False,2,4,4,0.9766556,5.3
TwoTier,376383645,4,1.0,False,2,4,4,0.9630884000000001,5.2
TwoTier,1746484539,4,1.0,False,2,4,4,0.9625315999999999,5.1
TwoTier,1826701614,8,1.0,False,2,8,8,0.9558788,13.9
TwoTier,1367864806,8,1.0,False,2,8,8,0.9596428,14.0
TwoTier,1097657231,8,1.0,False,2,5,8,0.8601432,13.6
