M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.status,M02,M02.status,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.status,M06.flow,M06.p95_ms,M06.status,M07.met,M07.status,M07.total,M08.flow,M08.fraction,M08.status,M09.mean,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.status,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.status,M19,M19.status,bg,duty_cycle,inf_scenario,k2_slots,load_mult,mfbr_multiple,min_rb,n_ues,pdb_ms,scheduler,seed,shared_lcg,snr_spread_db,sr_period_slots
ue2_qfi2,3.752,9.251,10.25,11.25,ok,0.0,ok,ue2_qfi1,0,0,0,107.75,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,10.989,ok,2,ok,2,ue2_qfi2,0.959058,ok,0.9999889773552312,proxy,5,0.9999815005454191,19793569.6,ok,0.00095,ok,0.393175,0.02129375,ok,ue1_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue2_qfi1,7.75,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,Reservation,579362555,,,
ue2_qfi9,4.75,10.75,11.75,12.5,ok,0.0,ok,ue1_qfi1,0,0,0,107.75000000000023,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,11.758,ok,2,ok,2,ue2_qfi2,0.959058,ok,0.9999904238393302,proxy,5,0.9999854804470779,19789480.0,ok,0.0010409090909090908,ok,0.48930795454545456,0.016990625,ok,ue2_qfi1,0.5102040816326531,49,100.0,data,ok,0.0,ue1_qfi1,8.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,TwoTier,579362555,,,
ue1_qfi2,3.535,9.266,10.44,10.902,ok,0.0,ok,ue2_qfi1,0,0,0,106.25000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,10.806,ok,1,ok,2,ue1_qfi2,0.9493584,ok,0.9999877834424116,proxy,5,0.999975600015673,19786028.8,ok,0.0009727272727272727,ok,0.2757045454545455,0.018290625,ok,ue1_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue1_qfi2,7.366999999999999,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,PF,661058651,,,
ue2_qfi9,3.75,9.75,10.75,11.25,ok,0.0,ok,ue2_qfi1,0,0,0,107.0000000000002,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,10.806,ok,1,ok,2,ue1_qfi2,0.9493584,ok,0.9999842779691221,proxy,5,0.9999703237102519,19785777.599999998,ok,0.0010545454545454545,ok,0.39905454545454544,0.02261875,ok,ue1_qfi1,0.42857142857142855,49,100.0,data,ok,0.0,ue2_qfi9,7.5,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,Reservation,661058651,,,
ue2_qfi9,4.75,10.75,12.0,12.75,ok,0.0,ok,ue2_qfi1,0,0,0,107.74999999999979,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,11.315,ok,1,ok,2,ue1_qfi2,0.9493584,ok,0.9999878293340428,proxy,5,0.9999822341202826,19788880.0,ok,0.0010545454545454545,ok,0.49651477272727274,0.0178109375,ok,ue1_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue2_qfi9,8.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,TwoTier,661058651,,,
ue2_qfi9,3.75,9.5,10.5,11.0,ok,0.0,ok,ue1_qfi1,0,0,0,107.0000000000002,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,10.709,ok,2,ok,2,ue1_qfi2,0.9708244,ok,0.9999891861800277,proxy,5,0.9999822685688329,19869550.4,ok,0.0009863636363636363,ok,0.2841056818181818,0.02000625,ok,ue2_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue1_qfi9,7.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,PF,87989972,,,
ue2_qfi9,4.0,9.5,10.5,11.0,ok,0.0,ok,ue1_qfi1,0,0,0,107.75,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,0.993421052631579,152,150.0,ok,ue1_qfi2,10.767,ok,2,ok,2,ue1_qfi2,0.969762,ok,0.9999867277313783,proxy,5,0.9999783786817961,19862153.6,ok,0.0010477272727272727,ok,0.4041159090909091,0.024878125,ok,ue2_qfi1,0.42857142857142855,49,100.0,data,ok,0.0,ue1_qfi1,7.75,ok,30.2,ue1_qfi2,1,68.0,68.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,Reservation,87989972,,,
ue2_qfi9,4.75,10.75,12.0,12.5,ok,0.0,ok,ue1_qfi1,0,0,0,106.25000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,11.277,ok,2,ok,2,ue1_qfi2,0.9708244,ok,0.9999894371115172,proxy,5,0.9999833162899555,19873976.0,ok,0.0010681818181818182,ok,0.5072977272727273,0.0194625,ok,ue2_qfi1,0.5306122448979592,49,100.0,data,ok,0.0,ue1_qfi2,8.169,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,TwoTier,87989972,,,
ue1_qfi2,3.605,9.444,10.511,11.283,ok,0.0,ok,ue1_qfi1,0,0,0,105.99999999999987,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,10.969,ok,2,ok,2,ue1_qfi2,0.9684908000000001,ok,0.9999901048866823,proxy,5,0.9999794890113626,19821588.8,ok,0.001025,ok,0.28681022727272726,0.021984375,ok,ue1_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue1_qfi2,7.677999999999999,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,PF,161576974,,,
ue1_qfi2,3.529,9.5,10.686,11.25,ok,0.0,ok,ue1_qfi1,0,0,0,107.50000000000037,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,0.993421052631579,152,150.0,ok,ue1_qfi2,11.136,ok,2,ok,2,ue1_qfi2,0.967336,ok,0.9999888066268229,proxy,5,0.9999844148117223,19816945.6,ok,0.001025,ok,0.4085397727272727,0.0272125,ok,ue2_qfi1,0.5102040816326531,49,100.0,data,ok,0.0,ue1_qfi2,7.721,ok,30.2,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,Reservation,161576974,,,
ue2_qfi9,4.75,11.0,12.0,12.75,ok,0.0,ok,ue1_qfi1,0,0,0,108.75000000000013,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,11.283,ok,2,ok,2,ue1_qfi2,0.9684908000000001,ok,0.9999918212336409,proxy,5,0.9999857993704028,19822188.8,ok,0.0011795454545454546,ok,0.5067920454545455,0.0212375,ok,ue2_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue1_qfi1,8.5,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,TwoTier,161576974,,,
ue1_qfi9,4.0,9.75,10.5,11.25,ok,0.0,ok,ue1_qfi1,0,0,0,107.0000000000002,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,11.17,ok,2,ok,2,ue2_qfi2,0.9783035999999999,ok,0.9999874504119711,proxy,5,0.9999806186988539,19893646.4,ok,0.0012272727272727272,ok,0.3034386363636364,0.0249875,ok,ue1_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue2_qfi2,7.418000000000001,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,PF,35492826,,,
ue2_qfi2,3.692,9.077,10.354,11.25,ok,0.0,ok,ue1_qfi1,0,0,0,106.25000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,11.175,ok,2,ok,2,ue2_qfi2,0.9783035999999999,ok,0.9999862342637013,proxy,5,0.9999759932483504,19892072.0,ok,0.0011545454545454545,ok,0.42318863636363635,0.0311109375,ok,ue2_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue2_qfi2,7.558,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,Reservation,35492826,,,
ue2_qfi9,4.75,10.75,11.75,12.5,ok,0.0,ok,ue1_qfi1,0,0,0,108.0,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,11.339,ok,2,ok,2,ue2_qfi2,0.9783035999999999,ok,0.9999867040183379,proxy,5,0.9999808598489309,19891857.6,ok,0.0013136363636363636,ok,0.5265568181818182,0.0242390625,ok,ue1_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue2_qfi2,8.573,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,TwoTier,35492826,,,
ue2_qfi2,4.08,9.492,10.607,10.898,ok,0.0,ok,ue2_qfi1,0,0,0,106.25000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,10.889,ok,2,ok,2,ue1_qfi2,0.9645552,ok,0.999991659838126,proxy,5,0.9999827427815301,19813644.799999997,ok,0.0009954545454545455,ok,0.27446136363636364,0.0178609375,ok,ue1_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue1_qfi9,7.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,PF,376383645,,,
ue2_qfi2,4.272,9.639,10.75,11.318,ok,0.0,ok,ue1_qfi1,0,0,0,106.75,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,11.25,ok,2,ok,2,ue1_qfi2,0.9645552,ok,0.999992278863379,proxy,5,0.9999850683764158,19810521.6,ok,0.0009590909090909091,ok,0.39417613636363635,0.0215515625,ok,ue1_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue1_qfi9,7.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,Reservation,376383645,,,
ue2_qfi9,4.75,10.75,12.0,12.75,ok,0.0,ok,ue1_qfi1,0,0,0,108.0,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,11.772,ok,2,ok,2,ue1_qfi2,0.9645552,ok,0.9999896848534942,proxy,5,0.9999845823596619,19811579.2,ok,0.001025,ok,0.4965977272727273,0.017109375,ok,ue1_qfi1,0.5102040816326531,49,100.0,data,ok,0.0,ue2_qfi2,8.264000000000001,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,TwoTier,376383645,,,
ue1_qfi2,3.964,9.729,10.594,11.197,ok,0.0,ok,ue1_qfi1,0,0,0,105.99999999999987,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,11.25,ok,2,ok,2,ue1_qfi2,0.9755115999999999,ok,0.999989690321085,proxy,5,0.999977629179683,19921064.0,ok,0.0009977272727272727,ok,0.281775,0.01806875,ok,ue2_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue1_qfi9,7.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,PF,1746484539,,,
ue1_qfi2,4.08,9.757,10.781,11.286,ok,0.0,ok,ue1_qfi1,0,0,0,106.25000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,11.196,ok,2,ok,2,ue1_qfi2,0.9755115999999999,ok,0.9999920280406972,proxy,5,0.9999823064120635,19924745.599999998,ok,0.0010795454545454546,ok,0.40300454545454545,0.0223203125,ok,ue2_qfi1,0.40816326530612246,49,100.0,data,ok,0.0,ue1_qfi9,7.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,Reservation,1746484539,,,
ue2_qfi9,4.75,10.5,11.75,12.5,ok,0.0,ok,ue1_qfi1,0,0,0,106.25,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,11.916,ok,2,ok,2,ue1_qfi2,0.9755115999999999,ok,0.9999916099651992,proxy,5,0.9999882581995608,19924635.2,ok,0.0010704545454545454,ok,0.5043545454545455,0.0176015625,ok,ue2_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue1_qfi9,7.75,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,0.75,,,2,,TwoTier,1746484539,,,
ue2_qfi9,4.5,9.5,10.5,11.0,ok,0.0,ok,ue1_qfi1,0,0,0,105.99999999999987,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,10.647,ok,2,ok,2,ue1_qfi2,0.958504,ok,0.9999935663261692,proxy,5,0.9999858068853527,27752108.8,ok,0.0009931818181818182,ok,0.3677079545454545,0.0205265625,ok,ue2_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue1_qfi2,8.026,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,1.25,,,2,,PF,1826701614,,,
ue2_qfi9,4.75,9.75,10.5,11.25,ok,0.0,ok,ue1_qfi1,0,0,0,105.75000000000001,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,10.512,ok,2,ok,2,ue1_qfi2,0.958624,ok,0.9999938870800396,proxy,5,0.9999852862559719,27756660.8,ok,0.0011568181818181818,ok,0.48236931818181816,0.0263984375,ok,ue2_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue1_qfi2,7.576999999999999,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,1.25,,,2,,Reservation,1826701614,,,
ue2_qfi9,5.5,10.75,11.75,12.5,ok,0.0,ok,ue1_qfi1,0,0,0,107.75,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,10.321,ok,2,ok,2,ue1_qfi2,0.958624,ok,0.9999925588890832,proxy,5,0.9999868927050675,27765356.8,ok,0.0010568181818181818,ok,0.5828795454545455,0.0194953125,ok,ue1_qfi1,0.42857142857142855,49,100.0,data,ok,0.0,ue1_qfi1,7.75,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,1.25,,,2,,TwoTier,1826701614,,,
ue2_qfi9,4.5,9.5,10.5,11.0,ok,0.0,ok,ue1_qfi1,0,0,0,106.25000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,10.918,ok,2,ok,2,ue2_qfi2,0.962942,ok,0.999993841300532,proxy,5,0.9999856225332044,27817688.0,ok,0.0011227272727272726,ok,0.3896875,0.0236515625,ok,ue2_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue2_qfi2,7.489,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,1.25,,,2,,PF,1367864806,,,
ue2_qfi9,4.75,9.75,11.0,11.5,ok,0.0,ok,ue1_qfi1,0,0,0,107.25000000000007,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,10.613,ok,2,ok,2,ue2_qfi2,0.962942,ok,0.9999930688018258,proxy,5,0.9999878417830327,27820798.400000002,ok,0.0010636363636363636,ok,0.5015818181818181,0.0315484375,ok,ue1_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue1_qfi1,7.5,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,1.25,,,2,,Reservation,1367864806,,,
ue2_qfi9,5.5,10.75,11.75,12.5,ok,0.0,ok,ue2_qfi1,0,0,0,108.50000000000026,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,10.774,ok,2,ok,2,ue2_qfi2,0.962942,ok,0.9999947311513203,proxy,5,0.9999892942145256,27817772.8,ok,0.0011636363636363637,ok,0.5997920454545455,0.0227375,ok,ue2_qfi1,0.5102040816326531,49,100.0,data,ok,0.0,ue1_qfi1,8.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,1.25,,,2,,TwoTier,1367864806,,,
ue1_qfi9,4.75,10.0,11.0,11.5,ok,0.0,ok,ue1_qfi1,0,0,0,106.25000000000017,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,10.526,ok,2,ok,2,ue2_qfi2,0.9694708000000001,ok,0.9999921671020374,proxy,5,0.9999853632247706,27865566.4,ok,0.0011431818181818181,ok,0.4310806818181818,0.0294,ok,ue1_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue2_qfi2,7.279,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,1.25,,,2,,PF,1097657231,,,
ue2_qfi9,4.75,10.0,11.0,11.75,ok,0.0,ok,ue2_qfi1,0,0,0,107.50000000000037,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,10.369,ok,2,ok,2,ue2_qfi2,0.9694708000000001,ok,0.9999924493391854,proxy,5,0.9999838996772584,27859004.8,ok,0.0014045454545454545,ok,0.5421284090909091,0.0391875,ok,ue1_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue2_qfi1,7.5,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,,,,,1.25,,,2,,Reservation,1097657231,,,
