M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.status,M02,M02.status,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.median_gap_ms,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.status,M06.flow,M06.p95_ms,M06.status,M07.met,M07.status,M07.total,M08.flow,M08.fraction,M08.status,M09.mean,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.status,M17,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.status,M19,M19.status,M20.excluded_5qi,M20.flow,M20.gap_count_over_t_live,M20.gap_count_over_t_live_over_2,M20.gap_count_over_t_live_over_4,M20.max_gap_ms,M20.median_gap_ms,M20.role,M20.status,M20.t_live_s,duty_cycle,load_mult,n_ues,scheduler,seed,snr_spread_db
ue1_qfi9,7.25,21.0,23.25,24.75,ok,0.0,ok,ue1_qfi1,0,0,0,217.25,200.1249999999999,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue1_qfi2,23.705,ok,4,ok,4,ue3_qfi2,0.9712036,ok,0.9998734055166973,proxy,5,0.9996720843926832,47805556.800000004,ok,0.0021659090909090907,ok,0.8430681818181818,0.0705796875,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue1_qfi9,17.5,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue1_qfi1,0,0,0,217.25,200.1249999999999,data,ok,2.0,0.5,1.0,4,Reservation,579362555,
ue3_qfi9,8.75,23.25,26.5,28.25,ok,0.0,ok,ue1_qfi1,0,0,0,217.25,199.62499999999994,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue3_qfi2,28.071,ok,4,ok,4,ue3_qfi2,0.9712036,ok,0.9998760629369372,proxy,5,0.9997322914783285,47814977.6,ok,0.0027704545454545456,ok,0.9023522727272727,0.0378015625,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue3_qfi9,19.5,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue1_qfi1,0,0,0,217.25,199.62499999999994,data,ok,2.0,0.5,1.0,4,TwoTier,579362555,
ue1_qfi9,4.5,18.75,23.0,25.75,ok,0.0,ok,ue1_qfi1,0,0,0,222.5,199.99999999999974,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue1_qfi2,27.04,ok,4,ok,4,ue3_qfi2,0.9654496,ok,0.9999563535535495,proxy,5,0.9999051795488203,47665590.4,ok,0.002097727272727273,ok,0.6553,0.0379015625,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue1_qfi1,23.0,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue1_qfi1,0,0,0,222.5,199.99999999999974,data,ok,2.0,0.5,1.0,4,PF,661058651,
ue1_qfi9,5.75,19.25,21.25,23.0,ok,0.0,ok,ue2_qfi1,0,0,0,216.75,199.99999999999994,data,ok,2.0,False,,proxy,3,0,ue3_qfi2,0.9868421052631579,76,150.0,ok,ue1_qfi2,22.041,ok,4,ok,4,ue3_qfi2,0.9645256,ok,0.9999128573757101,proxy,5,0.9997892672049333,47656204.8,ok,0.002115909090909091,ok,0.8066397727272727,0.0570671875,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue1_qfi9,17.25,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue2_qfi1,0,0,0,216.75,199.99999999999994,data,ok,2.0,0.5,1.0,4,Reservation,661058651,
ue1_qfi9,6.75,20.0,23.25,26.0,ok,0.0,ok,ue1_qfi1,0,0,0,221.5,199.7499999999999,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue1_qfi2,25.361,ok,4,ok,4,ue3_qfi2,0.9654496,ok,0.9998381267703292,proxy,5,0.9995743684885541,47656251.2,ok,0.001993181818181818,ok,0.8838556818181819,0.03183125,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue1_qfi1,20.25,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue1_qfi1,0,0,0,221.5,199.7499999999999,data,ok,2.0,0.5,1.0,4,TwoTier,661058651,
ue2_qfi9,5.5,21.5,24.5,26.25,ok,0.0,ok,ue4_qfi1,0,0,0,217.5,199.99999999999994,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue2_qfi2,26.279,ok,4,ok,4,ue1_qfi2,0.9504216,ok,0.9999353746867389,proxy,5,0.9998289704759982,47618129.6,ok,0.0025136363636363637,ok,0.6703625,0.040025,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue2_qfi9,20.75,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue4_qfi1,0,0,0,217.5,199.99999999999994,data,ok,2.0,0.5,1.0,4,PF,87989972,
ue2_qfi9,6.75,19.75,21.75,23.0,ok,0.0,ok,ue2_qfi1,0,0,0,213.75,199.62500000000006,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue2_qfi2,22.5,ok,4,ok,4,ue1_qfi2,0.9504216,ok,0.9997178784052496,proxy,5,0.9994050962724309,47617720.0,ok,0.0021113636363636365,ok,0.8163125,0.0606125,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue3_qfi9,16.75,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue2_qfi1,0,0,0,213.75,199.62500000000006,data,ok,2.0,0.5,1.0,4,Reservation,87989972,
ue4_qfi9,7.75,22.0,24.75,26.25,ok,0.0,ok,ue4_qfi1,0,0,0,215.75,200.37499999999997,data,ok,2.0,False,,proxy,3,0,ue2_qfi2,0.9868421052631579,76,150.0,ok,ue2_qfi2,26.231,ok,4,ok,4,ue1_qfi2,0.9504216,ok,0.999875833830204,proxy,5,0.999688056650225,47599950.4,ok,0.0023636363636363638,ok,0.8875715909090909,0.0333140625,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue4_qfi1,19.0,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue4_qfi1,0,0,0,215.75,200.37499999999997,data,ok,2.0,0.5,1.0,4,TwoTier,87989972,
ue2_qfi9,5.5,24.0,27.25,29.0,ok,0.0,ok,ue2_qfi1,0,0,0,215.25,199.8749999999998,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue2_qfi2,28.77,ok,3,ok,4,ue3_qfi2,0.9478192,ok,0.9999122553167143,proxy,5,0.999796488203725,47650148.8,ok,0.002193181818181818,ok,0.6967431818181818,0.040890625,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue2_qfi9,23.5,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue2_qfi1,0,0,0,215.25,199.8749999999998,data,ok,2.0,0.5,1.0,4,PF,161576974,
ue2_qfi9,7.0,21.25,23.25,24.75,ok,0.0,ok,ue2_qfi1,0,0,0,219.0,199.50000000000023,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,76,150.0,ok,ue2_qfi2,22.719,ok,3,ok,4,ue3_qfi2,0.9478192,ok,0.9998833021481197,proxy,5,0.999706229032395,47638684.800000004,ok,0.0021704545454545453,ok,0.8352011363636364,0.0619921875,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue2_qfi1,18.0,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue2_qfi1,0,0,0,219.0,199.50000000000023,data,ok,2.0,0.5,1.0,4,Reservation,161576974,
ue4_qfi9,8.25,21.5,24.25,26.0,ok,0.0,ok,ue1_qfi1,0,0,0,214.0,199.99999999999986,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,0.9736842105263158,76,150.0,ok,ue2_qfi2,25.502,ok,3,ok,4,ue3_qfi2,0.9478192,ok,0.9998993293049031,proxy,5,0.9997575150456874,47637576.0,ok,0.002556818181818182,ok,0.8983647727272728,0.0339109375,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue2_qfi9,18.0,ok,,14.8,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue1_qfi1,0,0,0,214.0,199.99999999999986,data,ok,2.0,0.5,1.0,4,TwoTier,161576974,
ue1_qfi2,8.335,20.221,23.113,26.125,ok,0.0,ok,ue1_qfi1,0,0,0,219.0,200.1250000000001,data,ok,2.0,False,,proxy,3,0,ue2_qfi2,0.9868421052631579,76,150.0,ok,ue1_qfi2,27.152,ok,4,ok,4,ue3_qfi2,0.955746,ok,0.9999442658442141,proxy,5,0.9998807347379944,47654448.0,ok,0.002118181818181818,ok,0.6775727272727273,0.0391828125,ok,ue1_qfi1,0.0,24,100.0,data,ok,0.0,ue1_qfi9,21.0,ok,,15.2,ue1_qfi2,0,0.0,0.0,15.152,ok,66.0,,pending,,pending,"[8, 9]",ue1_qfi1,0,0,0,219.0,200.1250000000001,data,ok,2.0,0.5,1.0,4,PF,35492826,
