M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.status,M02,M02.status,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.status,M06.flow,M06.p95_ms,M06.status,M07.met,M07.status,M07.total,M08.flow,M08.fraction,M08.status,M09.mean,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.status,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.status,M19,M19.status,bg,scheduler,seed
ue6_qfi9,288.75,299.75,300.0,300.25,ok,0.25057128624861186,ok,ue4_qfi1,0,0,0,119.24999999999963,data,ok,2.0,False,,proxy,3,0,ue8_qfi2,0.0,148,150.0,ok,ue2_qfi2,21.008,ok,7,ok,8,ue8_qfi2,0.0,ok,0.8933730218877967,proxy,5,0.8908622406727809,69736086.4,ok,0.004018181818181818,ok,0.9333965909090909,0.0893390625,ok,ue3_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue5_qfi1,16.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,Reservation,579362555
ue4_qfi9,15.75,43.25,51.0,56.5,ok,0.3627085601499061,ok,ue4_qfi1,0,0,0,115.00000000000021,data,ok,2.0,False,,proxy,3,0,ue6_qfi2,0.0,148,150.0,ok,ue4_qfi2,21.579,ok,5,ok,8,ue6_qfi2,0.0,ok,0.7186913378770254,proxy,5,0.7186717424453792,59696283.2,ok,0.005393181818181818,ok,0.9319715909090909,0.0357671875,ok,ue2_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue4_qfi9,40.75,ok,30.4,ue3_qfi2,1,81.25,81.25,30.303,ok,33.0,,pending,,pending,False,TwoTier,579362555
ue8_qfi9,295.5,299.75,300.0,300.25,ok,0.24850919626020732,ok,ue3_qfi1,0,0,0,150.9999999999998,data,ok,2.0,False,,proxy,3,0,ue2_qfi2,0.993421052631579,152,150.0,ok,ue7_qfi2,24.165,ok,8,ok,8,ue8_qfi2,0.9537664,ok,0.9622582525690214,proxy,5,0.9551075974002187,69764577.6,ok,0.004979545454545454,ok,0.9323943181818182,0.0342203125,ok,ue1_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue3_qfi1,47.75,ok,30.2,ue2_qfi2,1,68.0,68.0,30.303,ok,33.0,,pending,,pending,False,PF,661058651
ue4_qfi9,215.75,298.75,299.5,300.0,ok,0.2560672324711969,ok,ue6_qfi1,0,0,0,119.25000000000009,data,ok,2.0,False,,proxy,3,0,ue7_qfi2,0.0,147,150.0,ok,ue3_qfi2,19.5,ok,6,ok,8,ue7_qfi2,0.0,ok,0.810183818792769,proxy,5,0.8083532210679226,68646153.6,ok,0.0039590909090909095,ok,0.9326,0.0848109375,ok,ue2_qfi1,0.5102040816326531,49,100.0,data,ok,0.0,ue3_qfi9,223.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,Reservation,661058651
ue7_qfi9,295.5,299.75,300.0,300.25,ok,0.24795252198685752,ok,ue3_qfi9,0,0,1,660.25,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue4_qfi2,81.713,ok,8,ok,8,ue8_qfi2,0.9537664,ok,0.9344181733749884,proxy,5,0.8989459393124742,69889467.2,ok,0.004511363636363636,ok,0.9322920454545455,0.033525,ok,ue4_qfi1,0.4,35,100.0,data,ok,0.0,ue8_qfi9,127.25,ok,30.0,ue4_qfi2,8,113.0,733.5,30.303,ok,33.0,,pending,,pending,False,TwoTier,661058651
ue8_qfi9,298.25,300.0,300.25,300.25,ok,0.2986655577069819,ok,ue4_qfi1,0,0,0,153.99999999999991,data,ok,2.0,False,,proxy,3,0,ue6_qfi2,0.993421052631579,152,150.0,ok,ue3_qfi2,25.288,ok,8,ok,8,ue3_qfi2,0.9638684000000001,ok,0.948442109807598,proxy,5,0.9432115605534025,65570259.2,ok,0.00505,ok,0.9323647727272727,0.0384328125,ok,ue1_qfi1,0.5102040816326531,49,100.0,data,ok,0.0,ue4_qfi1,49.5,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,PF,87989972
ue7_qfi9,296.25,300.0,300.0,300.25,ok,0.3014489064727952,ok,ue1_qfi1,0,0,0,121.75000000000003,data,ok,2.0,False,,proxy,3,0,ue8_qfi2,0.0,147,150.0,ok,ue3_qfi2,22.788,ok,7,ok,8,ue8_qfi2,0.0,ok,0.8845720518560085,proxy,5,0.8802296189924912,65251856.0,ok,0.004459090909090909,ok,0.9315034090909091,0.0990546875,ok,ue6_qfi1,0.42857142857142855,49,100.0,data,ok,0.0,ue7_qfi1,47.5,ok,30.0,ue1_qfi2,2,72.75,139.0,30.303,ok,33.0,,pending,,pending,False,Reservation,87989972
ue7_qfi9,252.0,300.0,300.0,300.25,ok,0.29944684818548667,ok,ue2_qfi1,0,0,0,458.2499999999996,data,ok,2.0,False,,proxy,3,0,ue2_qfi2,0.9933333333333333,150,150.0,ok,ue7_qfi2,83.621,ok,7,ok,8,ue2_qfi2,0.9495844,ok,0.9060972161560343,proxy,5,0.8576911511796792,65267470.4,ok,0.005034090909090909,ok,0.9324420454545455,0.0377859375,ok,ue7_qfi1,0.3103448275862069,29,100.0,data,ok,0.0,ue8_qfi9,115.5,ok,30.2,ue5_qfi2,12,104.0,987.5,30.303,ok,33.0,,pending,,pending,False,TwoTier,87989972
ue8_qfi9,297.25,299.75,300.0,300.25,ok,0.27550726731076375,ok,ue5_qfi1,0,0,0,124.00000000000011,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue4_qfi2,26.553,ok,8,ok,8,ue3_qfi2,0.950306,ok,0.9537289830297535,proxy,5,0.9373969704563362,67460713.6,ok,0.004902272727272727,ok,0.9328954545454545,0.0369515625,ok,ue5_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue1_qfi1,24.25,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,PF,161576974
ue7_qfi9,295.0,299.75,300.0,300.25,ok,0.2942834610669451,ok,ue1_qfi1,0,0,0,122.2500000000002,data,ok,2.0,False,,proxy,3,0,ue8_qfi2,0.0,148,150.0,ok,ue1_qfi2,21.524,ok,7,ok,8,ue8_qfi2,0.0,ok,0.8847293654612421,proxy,5,0.8747098297684265,65744364.8,ok,0.004615909090909091,ok,0.934271590909091,0.0974640625,ok,ue1_qfi1,0.42857142857142855,49,100.0,data,ok,0.0,ue1_qfi1,18.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,False,Reservation,161576974
