scheduler,seed,n_ues,load_mult,shared_lcg,k2_slots,M07.met,M07.total,M08.fraction,wall_s
TwoTier,1367864806,16,1.0,False,2,14,16,0.0,41.3
TwoTier,1097657231,16,1.0,False,2,5,16,0.0,28.2
TwoTier,579362555,16,1.0,False,2,5,16,0.0,30.2
TwoTier,661058651,16,1.0,False,2,12,16,0.0,39.8
TwoTier,87989972,16,1.0,False,2,5,16,0.0,34.2
TwoTier,161576974,16,1.0,False,2,5,16,0.0,28.9
TwoTier,35492826,16,1.0,False,2,13,16,0.0,38.7
TwoTier,376383645,16,1.0,False,2,13,16,0.0,38.8
TwoTier,1746484539,16,1.0,False,2,12,16,0.0,37.0
TwoTier,1826701614,24,1.0,False,2,13,24,0.0,45.3
TwoTier,1367864806,24,1.0,False,2,12,24,0.0,41.0
TwoTier,1097657231,24,1.0,False,2,13,24,0.0,44.4
TwoTier,579362555,24,1.0,False,2,13,24,0.0,44.2
TwoTier,661058651,24,1.0,False,2,12,24,0.0,44.0
TwoTier,87989972,24,1.0,False,2,11,24,0.0,45.0
TwoTier,161576974,24,1.0,False,2,5,24,0.0,40.1
TwoTier,35492826,24,1.0,False,2,5,24,0.0,44.2
TwoTier,376383645,24,1.0,False,2,5,24,0.0,50.1
TwoTier,1746484539,24,1.0,False,2,12,24,0.0,56.0
TwoTier,1826701614,32,1.0,False,2,5,32,0.0,39.4
TwoTier,1367864806,32,1.0,False,2,11,32,0.0,54.4
TwoTier,1097657231,32,1.0,False,2,6,32,0.0,48.5
TwoTier,579362555,32,1.0,False,2,13,32,0.0,54.1
TwoTier,661058651,32,1.0,False,2,12,32,0.0,57.2
TwoTier,87989972,32,1.0,False,2,10,32,0.0,56.3
TwoTier,161576974,32,1.0,False,2,8,32,0.0,53.2
TwoTier,35492826,32,1.0,False,2,5,32,0.0,45.0
TwoTier,376383645,32,1.0,False,2,12,32,0.0,53.2
TwoTier,1746484539,32,1.0,False,2,11,32,0.0,57.1
