M01.flow,M01.p50,M01.p95,M01.p98,M01.p99,M01.status,M02,M02.status,M03.flow,M03.gap_count_over_t_live,M03.gap_count_over_t_live_over_2,M03.gap_count_over_t_live_over_4,M03.max_gap_ms,M03.role,M03.status,M03.t_live_s,M04.exceeds_threshold,M04.flow,M04.status,M04.threshold_n,M04.worst_consecutive_miss_slots,M05.flow,M05.fraction,M05.frame_count,M05.pdb_ms,M05.status,M06.flow,M06.p95_ms,M06.status,M07.met,M07.status,M07.total,M08.flow,M08.fraction,M08.status,M09.mean,M09.status,M09.windows,M09.worst,M10,M10.status,M11.dl,M11.status,M11.ul,M12,M12.status,M14.flow,M14.fraction,M14.interval_count,M14.pdb_ms,M14.role,M14.status,M14.survival_time_ms,M15.flow,M15.jitter_ms,M15.status,M17.effective_fps,M17.flow,M17.freeze_count,M17.freeze_max_duration_ms,M17.freeze_total_duration_ms,M17.source_fps,M17.status,M17.xr_frame_period_ms,M18,M18.status,M19,M19.status,k2_slots,load_mult,n_ues,scheduler,seed,shared_lcg
ue2_qfi2,4.242,10.514,11.931,12.5,ok,0.0,ok,ue1_qfi1,0,0,0,108.75,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,12.905,ok,2,ok,2,ue1_qfi2,0.976886,ok,0.9999891247759063,proxy,5,0.9999819974943528,15901625.6,ok,0.001025,ok,0.3504431818181818,0.0202875,ok,ue1_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue1_qfi9,9.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,Reservation,579362555,False
ue2_qfi9,3.75,11.0,12.5,13.5,ok,0.0,ok,ue2_qfi1,0,0,0,107.75,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,12.75,ok,2,ok,2,ue1_qfi2,0.976886,ok,0.9999868258687272,proxy,5,0.9999805003853156,15901044.8,ok,0.0010772727272727273,ok,0.4083806818181818,0.017384375,ok,ue1_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue2_qfi9,9.75,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,TwoTier,579362555,False
ue2_qfi9,2.75,9.75,11.0,11.75,ok,0.0,ok,ue2_qfi1,0,0,0,107.0000000000002,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,0.993421052631579,152,150.0,ok,ue1_qfi2,11.303,ok,2,ok,2,ue1_qfi2,0.967864,ok,0.9999815555418008,proxy,5,0.9999623354517791,15870934.4,ok,0.001031818181818182,ok,0.23925,0.0165109375,ok,ue1_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue2_qfi9,9.0,ok,30.2,ue1_qfi2,1,69.0,69.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,PF,661058651,False
ue2_qfi9,3.0,10.25,11.25,12.0,ok,0.0,ok,ue1_qfi1,0,0,0,108.50000000000026,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,12.496,ok,2,ok,2,ue1_qfi2,0.9691344000000001,ok,0.999987234403698,proxy,5,0.9999806739887221,15872996.8,ok,0.0009795454545454545,ok,0.3509465909090909,0.01893125,ok,ue1_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue2_qfi9,9.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,Reservation,661058651,False
ue2_qfi9,4.0,11.5,12.75,13.75,ok,0.0,ok,ue2_qfi1,0,0,0,112.50000000000027,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,12.11,ok,2,ok,2,ue1_qfi2,0.9691344000000001,ok,0.9999886933076926,proxy,5,0.9999827278487724,15876040.0,ok,0.001031818181818182,ok,0.41124431818181817,0.01615625,ok,ue1_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue2_qfi1,12.5,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,TwoTier,661058651,False
ue2_qfi9,3.0,9.75,11.0,11.75,ok,0.0,ok,ue2_qfi1,0,0,0,106.50000000000004,data,ok,2.0,False,,proxy,3,0,ue2_qfi2,0.993421052631579,152,150.0,ok,ue1_qfi2,11.601,ok,2,ok,2,ue2_qfi2,0.9540708,ok,0.9999877763784323,proxy,5,0.9999722077076184,15779843.2,ok,0.0011522727272727273,ok,0.2434875,0.0189203125,ok,ue2_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue1_qfi9,9.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,PF,87989972,False
ue2_qfi9,3.25,10.25,11.5,12.25,ok,0.0,ok,ue1_qfi1,0,0,0,109.99999999999987,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue1_qfi2,12.456,ok,2,ok,2,ue2_qfi2,0.9543224,ok,0.9999915536059962,proxy,5,0.9999870527713354,15783505.6,ok,0.0010795454545454546,ok,0.3575102272727273,0.0216578125,ok,ue1_qfi1,0.5510204081632653,49,100.0,data,ok,0.0,ue1_qfi1,9.75,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,Reservation,87989972,False
ue2_qfi9,4.0,11.0,12.25,13.0,ok,0.0,ok,ue2_qfi1,0,0,0,110.50000000000004,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,12.18,ok,2,ok,2,ue2_qfi2,0.9543224,ok,0.999987461339255,proxy,5,0.9999791213722132,15786876.8,ok,0.001115909090909091,ok,0.41869545454545454,0.018675,ok,ue1_qfi1,0.46938775510204084,49,100.0,data,ok,0.0,ue2_qfi1,10.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,TwoTier,87989972,False
ue2_qfi2,4.028,9.633,11.5,11.974,ok,0.0,ok,ue1_qfi1,0,0,0,108.0,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,12.0,ok,2,ok,2,ue1_qfi2,0.9700324,ok,0.9999854645117032,proxy,5,0.9999731209099789,15863220.8,ok,0.001190909090909091,ok,0.24910909090909092,0.020809375,ok,ue1_qfi1,0.4897959183673469,49,100.0,data,ok,0.0,ue1_qfi9,8.75,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,PF,161576974,False
ue2_qfi9,3.25,10.25,11.5,12.25,ok,0.0,ok,ue2_qfi1,0,0,0,108.0000000000001,data,ok,2.0,False,,proxy,3,0,ue1_qfi2,1.0,152,150.0,ok,ue2_qfi2,11.895,ok,2,ok,2,ue1_qfi2,0.9700324,ok,0.9999863610483437,proxy,5,0.9999802856012601,15862072.0,ok,0.0011136363636363637,ok,0.36117727272727274,0.0238234375,ok,ue1_qfi1,0.4489795918367347,49,100.0,data,ok,0.0,ue1_qfi9,9.0,ok,30.4,ue1_qfi2,0,0.0,0.0,30.303,ok,33.0,,pending,,pending,4,0.5,2,Reservation,161576974,False
